Model,Accuracy,Precision,Recall,F1-Score
Baseline MLP,0.9237875288683602,0.8495297805642633,0.7633802816901408,0.8041543026706232
Simple RNN,0.7950346420323325,0.0,0.0,0.0
LSTM Network,0.9151270207852193,0.7971428571428572,0.7859154929577464,0.7914893617021277
